"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","Spain (ES)","1444.39"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","Switzerland (CH)","0.00"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","Switzerland (CH)","France (FR)","89.91"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 06:00:00 - 01/01/2026 07:00:00","United Kingdom (GB-CTY)","France (FR)","2479.12"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","Belgium (BE)","France (FR)","3098.10"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","Germany (DE)","France (FR)","2393.15"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","Italy (IT)","512.38"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","Spain (ES)","1764.82"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","Switzerland (CH)","0.00"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","Switzerland (CH)","France (FR)","360.94"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 07:00:00 - 01/01/2026 08:00:00","United Kingdom (GB-CTY)","France (FR)","2148.92"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","Belgium (BE)","France (FR)","2153.52"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","Germany (DE)","France (FR)","2175.86"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","Italy (IT)","384.38"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","Spain (ES)","1720.18"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","Switzerland (CH)","0.00"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","Switzerland (CH)","France (FR)","376.06"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 08:00:00 - 01/01/2026 09:00:00","United Kingdom (GB-CTY)","France (FR)","1436.66"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","Belgium (BE)","France (FR)","2338.12"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","Germany (DE)","France (FR)","1846.98"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","Italy (IT)","527.16"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","Spain (ES)","1638.73"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","Switzerland (CH)","4.75"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","France (FR)","United Kingdom (GB-CTY)","0.00"
"01/01/2026 09:00:00 - 01/01/2026 10:00:00","United Kingdom (GB-CTY)","France (FR)","88.40"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","Belgium (BE)","France (FR)","1854.64"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","Germany (DE)","France (FR)","1605.31"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","Italy (IT)","926.22"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","Spain (ES)","1735.47"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","Switzerland (CH)","612.42"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","France (FR)","United Kingdom (GB-CTY)","1052.03"
"01/01/2026 10:00:00 - 01/01/2026 11:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","Belgium (BE)","France (FR)","2052.22"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","Germany (DE)","France (FR)","1476.44"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","Italy (IT)","1076.94"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","Spain (ES)","1948.43"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","Switzerland (CH)","621.30"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","France (FR)","United Kingdom (GB-CTY)","2073.77"
"01/01/2026 11:00:00 - 01/01/2026 12:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","Belgium (BE)","France (FR)","1889.94"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","Germany (DE)","France (FR)","1282.33"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","Italy (IT)","1118.70"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","Spain (ES)","1728.28"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","Switzerland (CH)","710.73"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","France (FR)","United Kingdom (GB-CTY)","2264.14"
"01/01/2026 12:00:00 - 01/01/2026 13:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","Belgium (BE)","France (FR)","1431.96"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","Germany (DE)","France (FR)","1101.41"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","Italy (IT)","1096.19"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","Spain (ES)","1849.80"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","Switzerland (CH)","771.33"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","France (FR)","United Kingdom (GB-CTY)","3369.18"
"01/01/2026 13:00:00 - 01/01/2026 14:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","Belgium (BE)","France (FR)","968.98"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","Germany (DE)","France (FR)","1101.06"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","Italy (IT)","1058.37"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","Spain (ES)","1930.84"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","Switzerland (CH)","787.17"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","Switzerland (CH)","France (FR)","0.00"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","France (FR)","United Kingdom (GB-CTY)","3348.13"
"01/01/2026 14:00:00 - 01/01/2026 15:00:00","United Kingdom (GB-CTY)","France (FR)","0.00"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","Belgium (BE)","0.00"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","Belgium (BE)","France (FR)","740.02"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","Germany (DE)","France (FR)","620.36"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","Italy (IT)","1145.66"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","Italy (IT)","France (FR)","0.00"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","Luxembourg (LU)","n/e"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","Luxembourg (LU)","France (FR)","n/e"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","Spain (ES)","2007.44"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","Spain (ES)","France (FR)","0.00"
"01/01/2026 15:00:00 - 01/01/2026 16:00:00","France (FR)","Switzerland (CH)","906.21"
