"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Denmark (DK)","122.07"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Denmark (DK)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","France (FR)","1063.64"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Luxembourg (LU)","317.76"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Netherlands (NL)","888.22"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Norway (NO)","973.55"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Poland (PL)","2039.06"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Sweden (SE)","Germany (DE)","216.88"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Germany (DE)","Switzerland (CH)","3670.79"
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Austria (AT)","2531.63"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Belgium (BE)","245.76"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Belgium (BE)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Czech Republic (CZ)","1717.99"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Denmark (DK)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Denmark (DK)","Germany (DE)","453.37"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","France (FR)","1403.30"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Luxembourg (LU)","365.82"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Netherlands (NL)","1376.23"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","Germany (DE)","Norway (NO)","1195.99"
